Код сотрудника,Не важные миссии,Полезные миссии,Очень полезные миссии,Выполнил Креативный класс,Выполнил HiPo,Выполнил HiPro,Выполнил Звезда департамента,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст,Эффективность,Всего миссий,Среднее миссий на сотрудника,Продуктивность сотрудника
SU1877,0,0,1,False,False,True,False,Департамент инфраструктурных решений и сервисов,группа менеджеров по работе с партнерами,Не указано,Менеджер по работе с партнерами,True,"19 г., 11 мес.,14 дн.",Мужской,41.0,False,1,20.005903574942604,0.05
SU1880,0,2,1,False,False,True,False,Департамент телекоммуникаций,Не указано,группа унифицированных коммуникаций,"Технический менеджер, Тимлид",True,"21 г., 1 мес.,3 дн.",Мужской,45.0,False,3,20.005903574942604,0.15
SU188139,1,5,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров систем управления ИТ-процессами,Не указано,Эксперт,True,"2 г., 3 мес.,24 дн.",Мужской,47.0,False,6,20.005903574942604,0.25
SU188391,1,2,1,False,False,True,False,Департамент инфраструктурных решений и сервисов,группа развития направления “Управление ИТ-процессами”,Не указано,Технический менеджер,True,"2 г., 3 мес.,20 дн.",Мужской,49.0,False,4,20.005903574942604,0.15
SU188408,0,2,1,True,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Руководитель группы,True,"2 г., 3 мес.,13 дн.",Мужской,38.0,False,3,20.005903574942604,0.15
SU188752,1,12,4,True,True,True,False,Департамент разработки программного обеспечения,Государственные информационные системы,финтех.группа аналитиков,Системный аналитик,True,"2 г., 3 мес.,7 дн.",Женский,23.0,True,17,20.005903574942604,0.82
SU1888,2,3,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами развития бизнес-процессов,Директор по управлению комплексными проектами,True,"18 г., 8 мес.,24 дн.",Мужской,45.0,False,5,20.005903574942604,0.15
SU188914,1,21,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,Аналитик SOC,True,"2 г., 3 мес.,7 дн.",Мужской,24.0,True,22,20.005903574942604,1.05
SU189,0,6,1,False,False,True,False,Департамент инженерных и мультимедийных систем,Не указано,монтажники,Бригадир,True,"23 г., 4 мес.,24 дн.",Мужской,56.0,False,7,20.005903574942604,0.35
SU189014,3,16,0,False,False,False,False,Департамент телекоммуникаций,Цифровое производство,группа инженеров цифрового производства,Инженер,True,"2 г., 2 мес.,24 дн.",Женский,30.0,True,19,20.005903574942604,0.8
SU189015,1,2,1,False,False,True,False,Департамент инфраструктурных решений и сервисов,группа развития направления “Управление ИТ-процессами”,Не указано,Технический менеджер,True,"2 г., 1 мес.,24 дн.",Мужской,43.0,False,4,20.005903574942604,0.15
SU189116,2,19,1,True,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров систем управления ИТ-процессами,Не указано,Старший системный инженер,True,"2 г., 2 мес.,24 дн.",Мужской,40.0,True,22,20.005903574942604,1.0
SU189117,60,0,2,True,True,False,False,Департамент по работе с персоналом,отдел кадров,Не указано,Старший администратор,True,"2 г., 2 мес.,24 дн.",Женский,26.0,False,62,20.005903574942604,0.11
SU189132,2,15,0,False,False,False,False,Департамент бизнес-приложений,Не указано,группа консультантов по финансам,Ведущий консультант по внедрению бизнес-приложений,True,"0 г., 8 мес.,24 дн.",Мужской,51.0,True,17,20.005903574942604,0.75
SU189154,2,3,6,False,True,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,Не указано,"Старший системный инженер, Тимлид",True,"2 г., 2 мес.,30 дн.",Женский,23.0,False,11,20.005903574942604,0.48
SU189155,11,9,3,True,False,False,True,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,Не указано,Старший системный инженер,True,"2 г., 2 мес.,30 дн.",Мужской,21.0,True,23,20.005903574942604,0.61
SU189432,1,8,2,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,Не указано,Младший сервис-менеджер,True,"2 г., 2 мес.,24 дн.",Мужской,24.0,False,11,20.005903574942604,0.51
SU189474,0,0,1,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа продаж,Директор по работе с корпоративными клиентами,True,"2 г., 2 мес.,22 дн.",Мужской,37.0,False,1,20.005903574942604,0.05
SU189491,0,13,2,False,True,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Инженер-разработчик,True,"2 г., 2 мес.,17 дн.",Женский,23.0,True,15,20.005903574942604,0.76
SU189493,4,8,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,Не указано,Системный инженер,True,"2 г., 2 мес.,24 дн.",Женский,22.0,False,12,20.005903574942604,0.4
SU189632,53,10,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа менеджеров по работе с корпоративными клиентами,Менеджер по работе с корпоративными клиентами,True,"2 г., 2 мес.,21 дн.",Мужской,27.0,False,63,20.005903574942604,0.5
SU189633,8,17,1,False,True,False,False,Департамент инженерных и мультимедийных систем,группа сервиса,Не указано,Инженер,True,"2 г., 2 мес.,17 дн.",Мужской,24.0,True,26,20.005903574942604,0.9
SU189712,38,13,0,False,False,False,False,Департамент разработки программного обеспечения,Не указано,группа системных инженеров,Младший системный инженер,True,"2 г., 2 мес.,15 дн.",Мужской,24.0,True,51,20.005903574942604,0.65
SU189733,0,0,2,False,True,False,False,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Дежурный инженер,True,"2 г., 2 мес.,14 дн.",Женский,22.0,False,2,20.005903574942604,0.11
SU189734,0,3,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,Аналитик SOC,True,"2 г., 1 мес.,26 дн.",Мужской,27.0,False,3,20.005903574942604,0.15
SU189772,3,4,4,True,True,False,False,Департамент по работе с персоналом,Не указано,Развитие бренда работодателя,Менеджер по развитию бренда работодателя,True,"2 г., 2 мес.,10 дн.",Женский,23.0,False,11,20.005903574942604,0.42
SU189862,1,13,1,False,False,True,False,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Инженер-разработчик,True,"2 г., 2 мес.,10 дн.",Мужской,23.0,True,15,20.005903574942604,0.7
SU189876,0,3,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Не указано,группа инженеров поддержки баз данных,Эксперт,True,"2 г., 2 мес.,6 дн.",Мужской,43.0,False,3,20.005903574942604,0.15
SU189913,52,20,7,False,True,False,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа аналитиков по информационной безопасности,Системный аналитик,True,"2 г., 1 мес.,20 дн.",Женский,22.0,True,79,20.005903574942604,1.38
SU189921,0,8,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Ведущий инженер-разработчик,True,"2 г., 2 мес.,6 дн.",Мужской,46.0,False,8,20.005903574942604,0.4
SU189931,5,13,4,False,True,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,Не указано,Системный инженер,True,"2 г., 2 мес.,8 дн.",Мужской,22.0,True,22,20.005903574942604,0.87
SU189970,2,2,1,True,False,False,False,Департамент инфраструктурных решений и сервисов,Не указано,группа SRE-инженеров,Инженер,True,"2 г., 2 мес.,7 дн.",Мужской,24.0,False,5,20.005903574942604,0.15
SU189971,1,2,2,False,True,False,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по сетевой безопасности,Системный инженер,True,"2 г., 1 мес.,26 дн.",Мужской,22.0,False,5,20.005903574942604,0.21
SU190,3,0,0,False,False,False,False,Служба логистики,Не указано,Не указано,Ведущий менеджер,True,"19 г., 8 мес.,4 дн.",Мужской,44.0,False,3,20.005903574942604,0.0
SU190111,1,3,1,False,True,False,False,Департамент внутренней автоматизации,Не указано,группа разработки инфраструктурных приложений,Инженер-разработчик,True,"2 г., 1 мес.,1 дн.",Женский,22.0,False,5,20.005903574942604,0.2
SU190115,7,1,1,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами по разработке программных решений,Менеджер проектов,True,"2 г., 2 мес.,6 дн.",Женский,23.0,False,9,20.005903574942604,0.1
SU190231,2,25,1,True,False,False,False,Департамент внутренней автоматизации,Не указано,центральная служба технической поддержки,Инженер технической поддержки,True,"2 г., 2 мес.,3 дн.",Мужской,24.0,True,28,20.005903574942604,1.3
SU190232,1,2,1,False,False,False,False,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Дежурный инженер ЦОД,True,"2 г., 2 мес.,3 дн.",Мужской,22.0,False,4,20.005903574942604,0.15
SU190237,3,4,2,False,False,False,False,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Инженер,True,"2 г., 2 мес.,3 дн.",Мужской,25.0,False,9,20.005903574942604,0.31
SU190240,3,4,2,False,False,False,True,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами по разработке программных решений,Менеджер проектов,True,"2 г., 2 мес.,3 дн.",Женский,22.0,False,9,20.005903574942604,0.31
SU190244,1,12,6,False,True,True,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров технической поддержки по информационной безопасности,Инженер технической поддержки,True,"2 г., 2 мес.,3 дн.",Мужской,23.0,True,19,20.005903574942604,0.93
SU190255,1,8,1,False,True,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа разработчиков,Младший инженер-разработчик,True,"2 г., 2 мес.,3 дн.",Мужской,22.0,False,10,20.005903574942604,0.45
SU190261,2,4,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа разработчиков,Младший инженер-разработчик,True,"2 г., 2 мес.,2 дн.",Мужской,22.0,False,6,20.005903574942604,0.2
SU190316,5,20,2,True,False,False,False,Департамент бизнес-приложений,Не указано,группа консультантов по технической архитектуре и разработке,Старший консультант по внедрению бизнес-приложений,True,"2 г., 1 мес.,26 дн.",Мужской,28.0,True,27,20.005903574942604,1.11
SU190343,20,4,1,False,True,False,False,Департамент внутренней автоматизации,Не указано,группа разработки инфраструктурных приложений,Инженер-тестировщик,True,"2 г., 1 мес.,30 дн.",Женский,23.0,False,25,20.005903574942604,0.25
SU190411,74,7,1,True,False,False,False,Департамент по работе с персоналом,отдел кадров,Не указано,HR-менеджер,True,"2 г., 1 мес.,26 дн.",Женский,26.0,False,82,20.005903574942604,0.4
SU190413,11,8,0,False,False,False,False,Департамент внутренней автоматизации,Не указано,группа аналитиков,Младший системный аналитик,True,"2 г., 1 мес.,25 дн.",Женский,24.0,False,19,20.005903574942604,0.4
SU190414,2,19,1,True,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа аналитиков,Системный аналитик,True,"2 г., 1 мес.,26 дн.",Мужской,23.0,True,22,20.005903574942604,1.0
SU190415,0,2,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,финтех.группа аналитиков,Младший системный аналитик,True,"2 г., 1 мес.,12 дн.",Женский,25.0,False,2,20.005903574942604,0.1
SU190424,26,26,0,False,False,False,False,Департамент телекоммуникаций,Сервис,Инженеры технической поддержки (аутсорсинг),Старший инженер технической поддержки,True,"2 г., 1 мес.,26 дн.",Мужской,28.0,True,52,20.005903574942604,1.3
SU190480,3,1,1,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Ведущий системный аналитик,True,"2 г., 1 мес.,20 дн.",Мужской,32.0,False,5,20.005903574942604,0.1
SU190481,20,2,3,True,False,True,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа развития бизнеса,Младший сервис-менеджер,True,"2 г., 1 мес.,25 дн.",Женский,22.0,False,25,20.005903574942604,0.26
SU190552,10,3,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа менеджеров по работе с корпоративными клиентами,Менеджер по работе с корпоративными клиентами,True,"2 г., 1 мес.,24 дн.",Женский,22.0,False,13,20.005903574942604,0.15
SU190553,11,4,2,False,True,False,False,Департамент продаж и менеджмента проектов,Не указано,группа менеджеров по работе с корпоративными клиентами,Менеджер по работе с корпоративными клиентами,True,"2 г., 1 мес.,24 дн.",Женский,22.0,False,17,20.005903574942604,0.31
SU190601,0,4,2,False,False,True,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Ведущий пресейл-инженер,True,"2 г., 1 мес.,20 дн.",Мужской,34.0,False,6,20.005903574942604,0.31
SU190623,12,9,5,True,False,True,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров технической поддержки по информационной безопасности,Старший инженер технической поддержки,True,"2 г., 1 мес.,20 дн.",Мужской,26.0,True,26,20.005903574942604,0.72
SU190624,4,12,0,False,False,False,False,Департамент бизнес-приложений,Не указано,Группа аналитиков по автоматизации бизнес-процессов,Младший консультант по внедрению бизнес-приложений,True,"2 г., 1 мес.,20 дн.",Женский,22.0,True,16,20.005903574942604,0.6
SU190628,23,2,1,False,False,False,False,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа внедрения и эксплуатации облачных ИТ-инфраструктур,Старший инженер,True,"2 г., 1 мес.,6 дн.",Мужской,28.0,False,26,20.005903574942604,0.15
SU190634,2,13,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа аналитиков и внедренцев,Младший системный аналитик,True,"2 г., 1 мес.,23 дн.",Женский,24.0,True,15,20.005903574942604,0.65
SU190724,2,12,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа аналитиков и внедренцев,Младший системный аналитик,True,"2 г., 1 мес.,19 дн.",Женский,23.0,True,14,20.005903574942604,0.6
SU190745,37,11,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по сетевой безопасности,Системный инженер,True,"2 г., 1 мес.,10 дн.",Мужской,23.0,True,48,20.005903574942604,0.55
SU190779,3,5,1,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,Не указано,Младший инженер,True,"2 г., 1 мес.,2 дн.",Мужской,21.0,False,9,20.005903574942604,0.3
SU190825,67,25,1,False,True,False,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа технических менеджеров по информационной безопасности,Младший технический менеджер,True,"2 г., 1 мес.,13 дн.",Мужской,32.0,True,93,20.005903574942604,1.3
SU190907,74,0,2,False,True,False,False,Департамент по работе с персоналом,отдел кадров,Не указано,Администратор,True,"2 г., 1 мес.,12 дн.",Женский,23.0,False,76,20.005903574942604,0.11
SU190970,90,25,2,False,False,True,False,Департамент телекоммуникаций,Сервис,группа техподдержки сетей передачи данных,Системный инженер,True,"2 г., 1 мес.,6 дн.",Мужской,34.0,True,117,20.005903574942604,1.36
SU191022,3,1,1,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа обеспечения сервисных контрактов,Не указано,Пресейл-инженер,True,"2 г., 1 мес.,6 дн.",Мужской,26.0,False,5,20.005903574942604,0.1
SU191024,28,23,1,True,False,False,False,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,Не указано,Сервис-менеджер,True,"2 г., 0 мес.,21 дн.",Мужской,30.0,True,52,20.005903574942604,1.2
SU191051,5,14,1,False,True,False,False,Департамент бизнес-приложений,Не указано,Группа консультантов по автоматизации бизнес-процессов,Младший консультант по внедрению бизнес-приложений,True,"2 г., 1 мес.,5 дн.",Мужской,23.0,True,20,20.005903574942604,0.75
SU191100,3,17,2,False,False,True,False,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,Не указано,"Технический менеджер сервисных проектов, Тимлид",True,"2 г., 1 мес.,6 дн.",Мужской,44.0,True,22,20.005903574942604,0.96
SU191104,1,2,3,False,True,True,False,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,Не указано,Ведущий системный инженер,True,"2 г., 0 мес.,27 дн.",Мужской,36.0,False,6,20.005903574942604,0.26
SU191114,0,10,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,Не указано,Младший системный инженер,True,"2 г., 1 мес.,4 дн.",Мужской,23.0,False,10,20.005903574942604,0.5
SU191115,29,2,1,False,False,True,False,Департамент по работе с персоналом,Не указано,Внутренние коммуникации,Менеджер по внутренним коммуникациям,True,"2 г., 1 мес.,9 дн.",Женский,23.0,False,32,20.005903574942604,0.15
SU191116,0,1,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Старший инженер-разработчик,True,"2 г., 0 мес.,27 дн.",Мужской,29.0,False,1,20.005903574942604,0.05
SU191117,3,0,2,False,True,False,False,Департамент по работе с персоналом,Не указано,Корпоративная культура,Менеджер по развитию корпоративной культуры,True,"2 г., 0 мес.,15 дн.",Женский,22.0,False,5,20.005903574942604,0.11
SU191122,2,6,1,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа поддержки продаж решений по программной инфраструктуре,Не указано,Специалист по продвижению решений,True,"2 г., 0 мес.,25 дн.",Мужской,26.0,False,9,20.005903574942604,0.35
SU191137,0,1,1,False,False,True,False,Департамент инфраструктурных решений и сервисов,группа разработки частных облаков,Не указано,Ведущий инженер-разработчик,True,"2 г., 0 мес.,26 дн.",Мужской,37.0,False,2,20.005903574942604,0.1
SU191140,1,12,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Старший инженер-разработчик,True,"2 г., 0 мес.,20 дн.",Мужской,24.0,True,13,20.005903574942604,0.6
SU191166,11,15,1,False,True,False,False,Департамент бизнес-приложений,Не указано,Группа аналитиков и консультантов по внедрению Big Data и BI,Младший консультант по внедрению бизнес-приложений,True,"2 г., 0 мес.,28 дн.",Мужской,24.0,True,27,20.005903574942604,0.8
SU191167,1,6,2,False,False,True,False,Департамент бизнес-приложений,Не указано,Группа аналитиков и консультантов по внедрению Big Data и BI,Младший консультант по внедрению бизнес-приложений,True,"2 г., 0 мес.,28 дн.",Женский,23.0,False,9,20.005903574942604,0.41
SU191168,5,12,1,True,False,False,False,Департамент бизнес-приложений,Не указано,Группа аналитиков и консультантов по внедрению Big Data и BI,Консультант по внедрению бизнес-приложений,True,"2 г., 0 мес.,28 дн.",Женский,22.0,True,18,20.005903574942604,0.65
SU191196,0,4,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа развития бизнеса,Сервис-менеджер,True,"2 г., 0 мес.,21 дн.",Мужской,37.0,False,4,20.005903574942604,0.2
SU191200,63,14,1,False,False,False,False,Департамент телекоммуникаций,Сервис,группа техподдержки сетей передачи данных,Системный инженер,True,"2 г., 0 мес.,29 дн.",Мужской,41.0,True,78,20.005903574942604,0.75
SU191298,6,5,2,False,False,True,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа инженеров по защите инфраструктуры,Системный инженер,True,"2 г., 1 мес.,3 дн.",Мужской,25.0,False,13,20.005903574942604,0.36
SU1913,0,2,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа разработчиков,Ведущий инженер-разработчик,True,"16 г., 11 мес.,24 дн.",Мужской,38.0,False,2,20.005903574942604,0.1
SU191300,0,22,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки СУБД,Старший технический менеджер,True,"2 г., 0 мес.,29 дн.",Мужской,34.0,True,22,20.005903574942604,1.1
SU191344,13,6,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Не указано,группа UNIX и Open Source,Старший инженер,True,"2 г., 0 мес.,29 дн.",Мужской,33.0,False,19,20.005903574942604,0.3
SU1914,0,1,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа продаж,Директор по комплексным продажам,True,"21 г., 8 мес.,7 дн.",Мужской,43.0,False,1,20.005903574942604,0.05
SU191421,18,1,1,False,True,False,False,Департамент телекоммуникаций,Не указано,группа сетевых решений,Младший инженер,True,"2 г., 0 мес.,28 дн.",Женский,25.0,False,20,20.005903574942604,0.1
SU191423,0,18,1,True,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа тестировщиков,Инженер-тестировщик,True,"2 г., 0 мес.,28 дн.",Мужской,25.0,True,19,20.005903574942604,0.95
SU1915,0,2,0,False,False,False,False,Служба логистики,Не указано,Не указано,Менеджер,True,"16 г., 3 мес.,30 дн.",Мужской,38.0,False,2,20.005903574942604,0.1
SU191600,0,6,0,False,False,False,False,Департамент бизнес-приложений,группа технических менеджеров по BigData,Не указано,Технический менеджер,True,"2 г., 0 мес.,29 дн.",Мужской,32.0,False,6,20.005903574942604,0.3
SU191676,0,23,1,False,False,True,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа развития бизнеса,Старший менеджер по работе с партнерами,True,"2 г., 0 мес.,20 дн.",Женский,36.0,True,24,20.005903574942604,1.2
SU191740,0,3,4,False,False,True,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,Эксперт,True,"2 г., 0 мес.,11 дн.",Мужской,37.0,False,7,20.005903574942604,0.37
SU191861,4,13,0,False,False,False,False,Департамент бизнес-приложений,группа технических менеджеров по 1С,Не указано,Технический менеджер,True,"2 г., 0 мес.,26 дн.",Мужской,39.0,True,17,20.005903574942604,0.65
SU192,0,1,0,False,False,False,False,Департамент инженерных и мультимедийных систем,Не указано,монтажники,Монтажник,True,"18 г., 5 мес.,6 дн.",Мужской,46.0,False,1,20.005903574942604,0.05
SU1921,0,25,0,False,False,False,False,Департамент внутренней автоматизации,Не указано,группа аналитиков 1С,Системный аналитик,True,"20 г., 11 мес.,15 дн.",Мужской,40.0,True,25,20.005903574942604,1.25
SU1922,8,9,1,False,False,False,False,Департамент бизнес-приложений,группа технических менеджеров по BigData,Не указано,Технический менеджер,True,"15 г., 8 мес.,30 дн.",Мужской,48.0,False,18,20.005903574942604,0.5
SU192248,1,5,1,False,False,True,False,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,Аналитик SOC,True,"2 г., 0 мес.,15 дн.",Мужской,27.0,False,7,20.005903574942604,0.3
SU192262,3,0,1,False,True,False,False,Департамент внутренней автоматизации,Не указано,группа разработки инфраструктурных приложений,Инженер-разработчик,True,"2 г., 0 мес.,22 дн.",Мужской,23.0,False,4,20.005903574942604,0.05
SU1923,0,19,0,False,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,росстат. группа технических менеджеров,Технический менеджер комплексных проектов,True,"20 г., 8 мес.,16 дн.",Мужской,48.0,True,19,20.005903574942604,0.95
SU192340,1,6,0,False,False,False,False,Департамент телекоммуникаций,Цифровое производство,группа инженеров цифрового производства,Инженер,True,"2 г., 0 мес.,14 дн.",Женский,21.0,False,7,20.005903574942604,0.3
SU192341,168,24,2,False,False,True,False,Департамент телекоммуникаций,Сервис,группа управления сервисными проектами,Администратор проектов,True,"2 г., 0 мес.,8 дн.",Женский,28.0,True,194,20.005903574942604,1.31
SU192422,1,1,1,False,True,False,False,Департамент внутренней автоматизации,Не указано,группа разработки бизнес-приложений,Инженер-разработчик,True,"2 г., 0 мес.,20 дн.",Женский,22.0,False,3,20.005903574942604,0.1
SU192423,0,5,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,группа разработки частных облаков,Не указано,Старший системный аналитик,True,"1 г., 8 мес.,16 дн.",Мужской,29.0,False,5,20.005903574942604,0.25
SU192546,1,1,1,False,False,True,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Руководитель группы,True,"2 г., 0 мес.,15 дн.",Мужской,45.0,False,3,20.005903574942604,0.1
SU192588,77,19,3,False,False,True,True,Департамент инфраструктурных решений и сервисов,группа инженеров технической поддержки,Не указано,"Ведущий инженер технической поддержки, Тимлид",True,"2 г., 0 мес.,12 дн.",Мужской,38.0,True,99,20.005903574942604,1.11
SU192638,8,6,1,False,False,False,False,Департамент бизнес-приложений,группа технических менеджеров по BigData,Не указано,Младший технический менеджер,True,"2 г., 0 мес.,18 дн.",Мужской,26.0,False,15,20.005903574942604,0.35
SU1927,4,7,0,False,False,False,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами по инженерным и мультимедийным системам,Менеджер проектов,True,"18 г., 2 мес.,25 дн.",Мужской,46.0,False,11,20.005903574942604,0.35
SU192856,17,31,2,False,False,False,False,Департамент внутренней автоматизации,Не указано,центральная служба технической поддержки,Младший инженер технической поддержки,True,"2 г., 0 мес.,13 дн.",Мужской,23.0,True,50,20.005903574942604,1.66
SU192865,1,11,5,True,True,False,False,Департамент разработки программного обеспечения,Интеграционные решения,группа разработки,Старший инженер-разработчик,True,"1 г., 11 мес.,18 дн.",Мужской,26.0,True,17,20.005903574942604,0.82
SU192866,0,0,1,False,False,True,False,Департамент инфраструктурных решений и сервисов,группа обеспечения сервисных контрактов,Не указано,Пресейл-инженер,True,"1 г., 11 мес.,28 дн.",Женский,45.0,False,1,20.005903574942604,0.05
SU1930,0,1,0,False,False,False,False,Склад,Не указано,Не указано,Кладовщик,True,"17 г., 11 мес.,18 дн.",Мужской,45.0,False,1,20.005903574942604,0.05
SU193056,818,4,1,False,False,False,False,Департамент телекоммуникаций,Сервис,группа управления сервисными проектами,Администратор проектов,True,"2 г., 0 мес.,8 дн.",Женский,25.0,False,823,20.005903574942604,0.25
SU193088,0,13,1,False,True,False,False,Департамент бизнес-приложений,Не указано,группа консультантов по технической архитектуре и разработке,Старший консультант по внедрению бизнес-приложений,True,"0 г., 4 мес.,28 дн.",Мужской,27.0,True,14,20.005903574942604,0.7
SU193122,0,8,3,False,True,False,True,Департамент бизнес-приложений,Не указано,группа консультантов по производству,Консультант по внедрению бизнес-приложений,True,"2 г., 0 мес.,8 дн.",Женский,21.0,True,11,20.005903574942604,0.56
SU193203,0,15,0,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Старший инженер-разработчик,True,"1 г., 11 мес.,1 дн.",Мужской,32.0,True,15,20.005903574942604,0.75
SU193280,1,4,3,False,False,True,True,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами по разработке программных решений,Старший менеджер проектов,True,"1 г., 11 мес.,24 дн.",Мужской,41.0,False,8,20.005903574942604,0.36
SU193448,14,10,1,True,False,False,False,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа тестировщиков,Инженер-тестировщик,True,"1 г., 11 мес.,1 дн.",Женский,22.0,True,25,20.005903574942604,0.55
SU1935,0,4,1,False,False,True,False,Департамент продаж и менеджмента проектов,Не указано,группа управления проектами по вычислительной инфраструктуре ЦОД,Старший менеджер проектов,True,"19 г., 9 мес.,8 дн.",Мужской,43.0,False,5,20.005903574942604,0.25
SU193662,0,2,1,False,False,False,False,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Ведущий инженер-разработчик,True,"1 г., 11 мес.,26 дн.",Мужской,42.0,False,3,20.005903574942604,0.15
SU193840,1,2,3,False,True,False,False,Административно-эксплуатационный департамент,"Служба охраны труда, пожарной безопасности и гражданской обороны",Не указано,Младший специалист по охране труда,True,"1 г., 11 мес.,25 дн.",Женский,23.0,False,6,20.005903574942604,0.26
SU193884,9,13,1,False,False,True,False,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа тестировщиков,Инженер-тестировщик,True,"1 г., 11 мес.,25 дн.",Мужской,35.0,True,23,20.005903574942604,0.7
SU193920,3,20,0,False,False,False,False,Департамент бизнес-приложений,группа технических менеджеров по 1С,Не указано,Технический менеджер,True,"1 г., 11 мес.,11 дн.",Мужской,37.0,True,23,20.005903574942604,1.0
