Внешний код,Факт. департамент,Факт. подразделение,Факт. группа,Факт. должность,Является РМ/ТЛ,Стаж фактический по компании,Пол,Возраст
SU367,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по сопровождению программной инфраструктуры,,Технический менеджер,нет,"21 г., 0 мес.,1 дн.",Мужской,42
SU174783,Служба сопровождения проектной документации,,,Технический писатель,нет,"3 г., 0 мес.,14 дн.",Женский,28
SU92008,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа управления облачными проектами,Менеджер облачных проектов,нет,"7 г., 6 мес.,11 дн.",Мужской,30
SU48759,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа аналитиков,Старший системный аналитик,нет,"12 г., 9 мес.,29 дн.",Мужской,35
SU2682,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Охранник,нет,"20 г., 11 мес.,22 дн.",Мужской,68
SU2803,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Охранник,нет,"19 г., 8 мес.,17 дн.",Мужской,65
SU191114,Департамент инфраструктурных решений и сервисов,группа инженеров по инфраструктурному ПО,,Младший системный инженер,нет,"2 г., 1 мес.,4 дн.",Мужской,23
SU199487,Департамент разработки программного обеспечения,Продуктовый офис,,Менеджер продукта,нет,"0 г., 2 мес.,25 дн.",Мужской,38
SU137414,Служба качества,,,Старший специалист,нет,"4 г., 9 мес.,16 дн.",Женский,27
SU122792,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Старший технический менеджер,РМ,"5 г., 2 мес.,24 дн.",Мужской,38
SU196331,Департамент бизнес-приложений,,группа консультантов по финансам,Ведущий консультант по внедрению бизнес-приложений,нет,"0 г., 11 мес.,8 дн.",Женский,39
SU72881,Финансовый департамент,расчетно-аналитическая группа по вопросам экономики и финансов бизнеса,,Старший экономист,нет,"10 г., 3 мес.,4 дн.",Женский,32
SU710,Департамент инфраструктурных решений и сервисов,группа обеспечения сервисных контрактов,,Сервис-менеджер,нет,"17 г., 6 мес.,14 дн.",Мужской,39
SU713,Департамент разработки программного обеспечения,"Практика ""Аппаратные решения""",,Ведущий инженер,нет,"20 г., 1 мес.,17 дн.",Мужской,41
SU196291,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа веб разработки облака,Инженер-разработчик,нет,"1 г., 8 мес.,11 дн.",Мужской,23
SU198414,Департамент продаж и менеджмента проектов,,группа отраслевых решений,Директор по отраслевым решениям,нет,"0 г., 6 мес.,24 дн.",Мужской,40
SU81238,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки продаж облачных сервисов,"Старший менеджер по продвижению решений, Тимлид",ТЛ,"9 г., 3 мес.,15 дн.",Мужской,30
SU197674,Склад,,,Кладовщик,нет,"1 г., 0 мес.,15 дн.",Мужской,48
SU721,Департамент инфраструктурных решений и сервисов,группа обеспечения сервисных контрактов,,Менеджер проектов,нет,"24 г., 3 мес.,21 дн.",Мужской,48
SU199560,Департамент телекоммуникаций,Сервис,группа управления сервисными проектами,Стажер,нет,"0 г., 2 мес.,18 дн.",Мужской,20
SU85361,Департамент инфраструктурных решений и сервисов,,группа UNIX и Open Source,Старший инженер,нет,"8 г., 8 мес.,24 дн.",Женский,32
SU199137,Департамент инженерных и мультимедийных систем,Группа СКС и Автоматизации инженерных систем,,Стажер,нет,"0 г., 4 мес.,15 дн.",Женский,23
SU3259,Департамент инженерных и мультимедийных систем,Группа электроснабжения и климатических систем,,Эксперт,нет,"16 г., 11 мес.,6 дн.",Женский,40
SU126237,Правовой департамент,группа комплексного сопровождения проектов,,Юрист,нет,"5 г., 1 мес.,23 дн.",Женский,28
SU3272,Департамент внутренней автоматизации,,группа разработки инфраструктурных приложений,Ведущий инженер-разработчик,нет,"18 г., 9 мес.,2 дн.",Женский,43
SU197677,Отдел дизайна,,,Младший дизайнер,нет,"1 г., 0 мес.,19 дн.",Женский,23
SU166205,Отдел закупок,,,Старший администратор,нет,"3 г., 3 мес.,13 дн.",Женский,27
SU1240,Департамент разработки программного обеспечения,,группа развития бизнеса,Финансовый аналитик,нет,"16 г., 1 мес.,10 дн.",Женский,39
SU199524,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Стажер,нет,"0 г., 2 мес.,25 дн.",Мужской,23
SU153581,Департамент внутренней автоматизации,,группа разработки бизнес-приложений,Старший инженер-тестировщик,нет,"3 г., 11 мес.,28 дн.",Женский,24
SU61953,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по вычислительной инфраструктуре,,Младший технический менеджер,нет,"11 г., 10 мес.,15 дн.",Женский,36
SU84150,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа аналитиков,Старший системный аналитик,нет,"8 г., 11 мес.,2 дн.",Женский,41
SU726,Департамент инфраструктурных решений и сервисов,группа инженеров по ИТ-инфраструктуре и мониторингу,,Ведущий системный инженер,нет,"15 г., 0 мес.,16 дн.",Мужской,43
SU178959,Департамент бизнес-приложений,,группа консультантов по хранилищам данных и ETL,Младший консультант по внедрению бизнес-приложений,нет,"2 г., 10 мес.,19 дн.",Мужской,23
SU728,Департамент инженерных и мультимедийных систем,,,Главный инженер,нет,"22 г., 6 мес.,26 дн.",Мужской,51
SU197074,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Инженер,нет,"1 г., 2 мес.,24 дн.",Мужской,22
SU198734,Департамент бизнес-приложений,,группа консультантов по технической архитектуре и разработке,Старший консультант по внедрению бизнес-приложений,нет,"0 г., 6 мес.,3 дн.",Мужской,39
SU2683,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Охранник,нет,"23 г., 2 мес.,24 дн.",Мужской,61
SU178978,Департамент инфраструктурных решений и сервисов,группа обеспечения сервисных контрактов,,Сервис-менеджер,нет,"2 г., 10 мес.,24 дн.",Мужской,27
SU729,Департамент внутренней автоматизации,,группа системных администраторов,Ведущий инженер,нет,"20 г., 0 мес.,28 дн.",Мужской,43
SU199750,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа сопровождения ИТ-инфраструктур,Младший инженер,нет,"0 г., 1 мес.,16 дн.",Женский,25
SU199086,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продвижения решений,Младший пресейл-инженер,нет,"0 г., 4 мес.,22 дн.",Мужской,19
SU171802,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа ИТ-инфраструктуры",Старший системный инженер,нет,"3 г., 1 мес.,24 дн.",Мужской,43
SU41117,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"14 г., 1 мес.,5 дн.",Мужской,42
SU199612,Департамент инфраструктурных решений и сервисов,,группа развития и сопровождения частных облаков,Стажер,нет,"0 г., 2 мес.,6 дн.",Мужской,22
SU196859,Департамент инфраструктурных решений и сервисов,группа инженеров технической поддержки,,Инженер технической поддержки,нет,"1 г., 3 мес.,22 дн.",Мужской,32
SU166202,Департамент инфраструктурных решений и сервисов,группа поддержки продаж решений по программной инфраструктуре,,Специалист по продвижению решений,нет,"3 г., 3 мес.,13 дн.",Мужской,27
SU176638,Департамент инфраструктурных решений и сервисов,группа инженеров систем управления ИТ-процессами,,Ведущий системный инженер,нет,"2 г., 10 мес.,26 дн.",Мужской,30
SU160697,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа аналитиков и внедренцев,Младший системный аналитик,нет,"3 г., 6 мес.,1 дн.",Женский,33
SU54736,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Ведущий инженер-разработчик,нет,"8 г., 4 мес.,5 дн.",Мужской,44
SU3493,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,,Руководитель практики Технического консалтинга,нет,"18 г., 8 мес.,3 дн.",Мужской,40
SU199284,Департамент разработки программного обеспечения,Государственные информационные системы,финтех.группа аналитиков,Стажер,нет,"0 г., 3 мес.,22 дн.",Мужской,21
SU1439,Департамент по работе с персоналом,отдел рекрутинга,,Ведущий HR-менеджер,нет,"8 г., 5 мес.,10 дн.",Женский,61
SU199073,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,Младший менеджер проектов,нет,"0 г., 4 мес.,22 дн.",Женский,24
SU105800,Департамент маркетинга,контакт-центр,,Ведущий оператор,нет,"6 г., 0 мес.,16 дн.",Женский,26
SU141593,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа тестировщиков,Инженер-тестировщик,нет,"4 г., 7 мес.,9 дн.",Женский,25
SU190552,Департамент продаж и менеджмента проектов,,группа менеджеров по работе с корпоративными клиентами,Менеджер по работе с корпоративными клиентами,нет,"2 г., 1 мес.,24 дн.",Женский,22
SU49960,Департамент продаж и менеджмента проектов,,группа администраторов BackOffice,Старший администратор проектов,нет,"12 г., 7 мес.,20 дн.",Женский,36
SU153282,Правовой департамент,группа комплексного сопровождения проектов,,Юрист,нет,"4 г., 0 мес.,5 дн.",Женский,26
SU120950,Департамент разработки программного обеспечения,"Практика ""Аппаратные решения""",,Младший инженер,нет,"5 г., 2 мес.,26 дн.",Мужской,25
SU199574,Департамент продаж и менеджмента проектов,,группа менеджеров по работе с корпоративными клиентами,Стажер,нет,"0 г., 1 мес.,29 дн.",Женский,20
SU43871,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,уборщицы,Уборщица,нет,"6 г., 10 мес.,4 дн.",Женский,50
SU733,Финансовый департамент,,отдел учета товаров и взаиморасчетов с поставщиками,"Ведущий бухгалтер, Тимлид",ТЛ,"18 г., 9 мес.,15 дн.",Женский,43
SU198869,Департамент инфраструктурных решений и сервисов,Информационная безопасность,группа развития бизнеса,Стажер,нет,"0 г., 5 мес.,12 дн.",Женский,21
SU51362,Административно-эксплуатационный департамент,Административный отдел,курьеры,Курьер,нет,"12 г., 6 мес.,15 дн.",Мужской,33
SU164707,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,Менеджер проектов,нет,"3 г., 3 мес.,24 дн.",Мужской,35
SU197151,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа продуктовых интеграций,Ведущий системный инженер,нет,"1 г., 2 мес.,8 дн.",Мужской,36
SU117509,Департамент разработки программного обеспечения,"Практика ""Аппаратные решения""",,Инженер,нет,"5 г., 6 мес.,9 дн.",Мужской,28
SU199121,Департамент инфраструктурных решений и сервисов,группа инженеров технической поддержки,,Инженер технической поддержки,нет,"0 г., 4 мес.,15 дн.",Мужской,33
SU135098,Департамент разработки программного обеспечения,Государственные информационные системы,росстат.группа тестировщиков,Инженер-тестировщик,нет,"4 г., 11 мес.,6 дн.",Мужской,27
SU741,Химкинское обособленное подразделение,,,Ведущий кладовщик,нет,"24 г., 6 мес.,24 дн.",Мужской,44
SU199986,Департамент внутренней автоматизации,,группа разработки HR-tech решений,Стажер,нет,"0 г., 0 мес.,8 дн.",Мужской,21
SU58555,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Старший технический менеджер,нет,"12 г., 1 мес.,8 дн.",Мужской,42
SU118129,Департамент разработки программного обеспечения,Государственные информационные системы,суды. группа разработчиков,Старший инженер-разработчик,нет,"4 г., 10 мес.,10 дн.",Мужской,26
SU545,Департамент инженерных и мультимедийных систем,технические менеджеры по инженерным системам,,Технический менеджер,нет,"16 г., 10 мес.,15 дн.",Мужской,41
SU196367,Департамент по работе с персоналом,отдел рекрутинга,,Младший HR-менеджер,нет,"1 г., 7 мес.,22 дн.",Женский,21
SU180612,Департамент по работе с персоналом,,Образовательные проекты brainz для студентов и школьников,Старший менеджер по образовательным проектам,нет,"2 г., 9 мес.,6 дн.",Женский,22
SU196957,Департамент телекоммуникаций,Сервис,группа развития,Менеджер по работе с партнерами,нет,"1 г., 3 мес.,22 дн.",Женский,49
SU142296,Департамент по работе с персоналом,,Корпоративная культура,"Ведущий менеджер по развитию корпоративной культуры, Тимлид по развитию корпоративной культуры",нет,"4 г., 6 мес.,22 дн.",Женский,25
SU183592,Департамент разработки программного обеспечения,Государственные информационные системы,,Специалист по продвижению решений,нет,"2 г., 8 мес.,24 дн.",Женский,22
SU547,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Эксперт,нет,"16 г., 2 мес.,7 дн.",Мужской,36
SU198061,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по программной инфраструктуре,,Технический менеджер,нет,"0 г., 8 мес.,26 дн.",Мужской,40
SU2735,Департамент продаж и менеджмента проектов,,группа менеджеров по работе с корпоративными клиентами,Менеджер по работе с корпоративными клиентами,нет,"19 г., 8 мес.,28 дн.",Мужской,42
SU197632,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Младший дежурный инженер ЦОД,нет,"1 г., 0 мес.,16 дн.",Мужской,22
SU47554,Департамент телекоммуникаций,,группа сетевых решений,Системный инженер,нет,"12 г., 11 мес.,1 дн.",Мужской,40
SU43955,Департамент продаж и менеджмента проектов,,группа продаж,Директор по работе с корпоративными клиентами,нет,"13 г., 6 мес.,20 дн.",Мужской,34
SU199160,Департамент инфраструктурных решений и сервисов,,группа UNIX и Open Source,Старший инженер,нет,"0 г., 3 мес.,27 дн.",Мужской,44
SU199828,Департамент продаж и менеджмента проектов,,группа управления проектами по техническому консалтингу,Менеджер проектов,нет,"0 г., 1 мес.,2 дн.",Женский,35
SU195923,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки и эксплуатации систем в ЦОД,Дежурный инженер ЦОД,нет,"1 г., 9 мес.,9 дн.",Женский,21
SU199378,Департамент по работе с персоналом,отдел рекрутинга,,Стажер,нет,"0 г., 3 мес.,3 дн.",Женский,20
SU197584,Департамент разработки программного обеспечения,Государственные информационные системы,цифровые экосистемы. группа аналитиков и внедренцев,Младший консультант по внедрению,нет,"1 г., 0 мес.,30 дн.",Женский,21
SU143963,Департамент по работе с персоналом,,Образовательные проекты brainz для студентов и школьников,"Ведущий менеджер по образовательным проектам, Тимлид",РМ,"4 г., 0 мес.,19 дн.",Женский,25
SU198629,Административно-эксплуатационный департамент,Административный отдел,секретариат,Секретарь-референт,нет,"0 г., 6 мес.,23 дн.",Женский,18
SU87303,Департамент внутренней автоматизации,,группа управления проектами,Менеджер проектов,РМ,"8 г., 4 мес.,10 дн.",Женский,31
SU105905,Администрация,,,Директор по маркетингу,РМ,"6 г., 0 мес.,15 дн.",Женский,43
SU197995,Департамент по работе с персоналом,,Корпоративная культура,Менеджер по развитию корпоративной культуры,нет,"0 г., 10 мес.,10 дн.",Женский,28
SU50581,Департамент инфраструктурных решений и сервисов,группа обеспечения сервисных контрактов,,Администратор,нет,"12 г., 7 мес.,2 дн.",Женский,34
SU199145,Департамент разработки программного обеспечения,"Практика ""Аппаратные решения""",,Стажер,нет,"0 г., 4 мес.,14 дн.",Мужской,20
SU167742,Департамент телекоммуникаций,Сервис,группа технической поддержки телефонии и Call-центров,Инженер,нет,"3 г., 2 мес.,27 дн.",Женский,25
SU152610,Департамент бизнес-приложений,,группа консультантов по технической архитектуре и разработке,Ведущий консультант по внедрению бизнес-приложений,нет,"2 г., 1 мес.,20 дн.",Мужской,37
SU94470,Департамент инженерных и мультимедийных систем,технические менеджеры по инженерным системам,,Технический менеджер,нет,"7 г., 0 мес.,2 дн.",Мужской,35
SU157254,Департамент инженерных и мультимедийных систем,Группа СКС и Автоматизации инженерных систем,,Инженер,нет,"3 г., 9 мес.,7 дн.",Мужской,26
SU41718,Департамент продаж и менеджмента проектов,,группа управления проектами по программному консалтингу,Старший менеджер проектов,нет,"13 г., 11 мес.,23 дн.",Женский,33
SU825,Департамент разработки программного обеспечения,Государственные информационные системы,,"Руководитель направления ""Государственные информационные системы""",РМ,"21 г., 8 мес.,20 дн.",Мужской,44
SU41485,Департамент инженерных и мультимедийных систем,группа сервиса,,Ведущий инженер,нет,"14 г., 0 мес.,11 дн.",Мужской,39
SU550,Департамент разработки программного обеспечения,"Практика ""Роботехника""",,Технический менеджер,нет,"22 г., 7 мес.,8 дн.",Мужской,44
SU193122,Департамент бизнес-приложений,,группа консультантов по производству,Консультант по внедрению бизнес-приложений,нет,"2 г., 0 мес.,8 дн.",Женский,21
SU199951,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа тестировщиков,Стажер,нет,"0 г., 0 мес.,11 дн.",Женский,20
SU199197,Департамент продаж и менеджмента проектов,,группа управления проектами по построению корпоративных систем,Старший менеджер проектов,нет,"0 г., 3 мес.,17 дн.",Женский,35
SU101878,Департамент инфраструктурных решений и сервисов,группа администраторов сервисных проектов,,Старший администратор проектов,нет,"6 г., 4 мес.,11 дн.",Женский,27
SU196558,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа поддержки продаж облачных сервисов,Специалист по продвижению решений,нет,"1 г., 6 мес.,13 дн.",Мужской,22
SU196619,Департамент бизнес-приложений,,группа консультантов по производству,Старший консультант по внедрению бизнес-приложений,нет,"1 г., 5 мес.,23 дн.",Мужской,36
SU91054,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Ведущий инженер-разработчик,нет,"7 г., 8 мес.,5 дн.",Мужской,39
SU156566,Департамент разработки программного обеспечения,Корпоративные информационные системы,"Практика ""Медицинские информационные системы"".группа аналитиков",Системный аналитик,нет,"3 г., 9 мес.,14 дн.",Женский,29
SU196883,Департамент инфраструктурных решений и сервисов,группа инженеров технической поддержки,,Эксперт,нет,"1 г., 4 мес.,5 дн.",Мужской,47
SU66928,Департамент разработки программного обеспечения,"Практика ""Роботехника""",,Менеджер проектов,нет,"11 г., 3 мес.,21 дн.",Женский,37
SU844,Отдел закупок,,,Ведущий менеджер,нет,"20 г., 7 мес.,10 дн.",Мужской,46
SU188914,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,Аналитик SOC,нет,"2 г., 3 мес.,7 дн.",Мужской,24
SU198820,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа инженеров технической поддержки,Младший инженер технической поддержки,нет,"0 г., 6 мес.,3 дн.",Мужской,21
SU2992,Департамент разработки программного обеспечения,"Практика ""Time and Material""",группа тестировщиков,Старший инженер-тестировщик,нет,"17 г., 0 мес.,24 дн.",Женский,41
SU154546,Департамент разработки программного обеспечения,Государственные информационные системы,выборы. группа разработчиков,Старший инженер-разработчик,нет,"3 г., 11 мес.,6 дн.",Женский,26
SU856,Департамент продаж и менеджмента проектов,,группа управления проектами по инженерным и мультимедийным системам,Старший менеджер проектов,нет,"17 г., 3 мес.,16 дн.",Мужской,41
SU40845,Департамент инженерных и мультимедийных систем,группа сервиса,,Старший инженер,нет,"14 г., 1 мес.,25 дн.",Мужской,37
SU160949,Департамент продаж и менеджмента проектов,,группа управления проектами по инженерным и мультимедийным системам,Менеджер проектов,нет,"3 г., 6 мес.,13 дн.",Мужской,36
SU155261,Департамент продаж и менеджмента проектов,,группа администраторов BackOffice,Старший администратор проектов,нет,"3 г., 10 мес.,18 дн.",Женский,30
SU35128,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,Менеджер проектов,нет,"15 г., 0 мес.,11 дн.",Женский,38
SU191100,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,"Технический менеджер сервисных проектов, Тимлид",ТЛ,"2 г., 1 мес.,6 дн.",Мужской,44
SU41337,Департамент разработки программного обеспечения,"Практика ""Time and Material""",группа тестировщиков,Ведущий инженер по автоматизации тестирования,нет,"14 г., 0 мес.,21 дн.",Мужской,48
SU105218,Департамент по работе с персоналом,отдел рекрутинга,,"Ведущий HR-менеджер, Тимлид",ТЛ,"6 г., 0 мес.,29 дн.",Женский,26
SU152277,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,Инженер,нет,"4 г., 0 мес.,27 дн.",Мужской,27
SU51874,Департамент бизнес-приложений,,группа консультантов по производству,Консультант по внедрению бизнес-приложений,нет,"12 г., 5 мес.,30 дн.",Женский,36
SU64421,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа развития бизнеса,Технический менеджер,РМ,"11 г., 7 мес.,5 дн.",Мужской,33
SU198472,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа эксплуатации облачных сервисов,Инженер,нет,"0 г., 7 мес.,7 дн.",Мужской,35
SU878,Департамент продаж и менеджмента проектов,,группа управления проектами по вычислительной инфраструктуре ЦОД,Старший менеджер проектов,нет,"17 г., 6 мес.,23 дн.",Мужской,38
SU196918,Департамент инфраструктурных решений и сервисов,Разработка инфраструктурных продуктов,группа разработки,Старший системный инженер,нет,"1 г., 3 мес.,20 дн.",Мужской,35
SU199763,Административно-эксплуатационный департамент,Административный отдел,секретариат,Секретарь-референт,нет,"0 г., 1 мес.,15 дн.",Женский,21
SU198264,Департамент маркетинга,контакт-центр,,Телемаркетолог,нет,"0 г., 8 мес.,13 дн.",Женский,23
SU199102,Департамент инфраструктурных решений и сервисов,группа менеджеров по работе с партнерами,,Специалист по работе с партнерами,нет,"0 г., 3 мес.,23 дн.",Женский,25
SU102439,Департамент инфраструктурных решений и сервисов,группа технических менеджеров по вычислительной инфраструктуре,,Технический менеджер,нет,"6 г., 3 мес.,9 дн.",Мужской,34
SU49779,Департамент телекоммуникаций,Сервис,группа управления сервисными проектами,Ведущий сервис-менеджер,нет,"12 г., 7 мес.,20 дн.",Мужской,34
SU197253,Департамент телекоммуникаций,,группа унифицированных коммуникаций,Менеджер по продвижению решений,нет,"1 г., 1 мес.,21 дн.",Мужской,46
SU196988,Департамент маркетинга,группа внешних коммуникаций,,Менеджер по внешним коммуникациям,нет,"0 г., 11 мес.,10 дн.",Мужской,28
SU199567,Департамент бизнес-приложений,группа технических менеджеров по 1С,,Сервис-менеджер,нет,"0 г., 2 мес.,12 дн.",Женский,26
SU48299,Департамент продаж и менеджмента проектов,,группа менеджеров по работе с корпоративными клиентами,Менеджер по работе с корпоративными клиентами,нет,"12 г., 10 мес.,6 дн.",Мужской,35
SU196281,Департамент инфраструктурных решений и сервисов,группа инженеров по вычислительной инфраструктуре,,Младший инженер,нет,"1 г., 8 мес.,10 дн.",Мужской,23
SU199348,Департамент разработки программного обеспечения,Государственные информационные системы,финтех.группа аналитиков,Младший системный аналитик,нет,"0 г., 3 мес.,9 дн.",Женский,24
SU175902,Департамент разработки программного обеспечения,Управление контентом и документооборот,группа разработчиков,Инженер-разработчик,нет,"2 г., 9 мес.,12 дн.",Мужской,22
SU3274,Департамент по работе с персоналом,,HR-партнеры,HR-партнер,нет,"3 г., 3 мес.,3 дн.",Женский,45
SU90939,Департамент инженерных и мультимедийных систем,Группа систем безопасности,,Ведущий инженер,нет,"7 г., 8 мес.,19 дн.",Женский,32
SU198195,Департамент бизнес-приложений,,группа консультантов по финансам,Младший консультант по внедрению бизнес-приложений,нет,"0 г., 8 мес.,20 дн.",Женский,25
SU35184,Департамент инфраструктурных решений и сервисов,группа развития бизнеса,,Финансовый аналитик,нет,"15 г., 0 мес.,6 дн.",Женский,39
SU192638,Департамент бизнес-приложений,группа технических менеджеров по BigData,,Младший технический менеджер,нет,"2 г., 0 мес.,18 дн.",Мужской,26
SU196489,Департамент инфраструктурных решений и сервисов,группа управления сервисными проектами,,Сервис-менеджер,нет,"1 г., 6 мес.,15 дн.",Женский,29
SU2685,Служба охраны,,Группа обеспечения контрольно-пропускного режима,Охранник,нет,"23 г., 0 мес.,24 дн.",Мужской,47
SU180163,Департамент инфраструктурных решений и сервисов,Информационная безопасность,Центр мониторинга безопасности,Аналитик SOC,нет,"2 г., 7 мес.,23 дн.",Мужской,25
SU100838,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа сопровождения ИТ-инфраструктур,Инженер,нет,"6 г., 5 мес.,18 дн.",Мужской,27
SU198366,Департамент внутренней автоматизации,,группа разработки бизнес-приложений,Инженер-разработчик,нет,"0 г., 7 мес.,20 дн.",Мужской,21
SU122869,Департамент телекоммуникаций,Сервис,группа технической поддержки телефонии и Call-центров,Инженер,нет,"5 г., 3 мес.,3 дн.",Мужской,26
SU200016,Департамент внутренней автоматизации,,центральная служба технической поддержки,Стажер,нет,"0 г., 0 мес.,2 дн.",Мужской,21
SU199451,Административно-эксплуатационный департамент,Административный отдел,,Менеджер по корпоративному питанию,нет,"0 г., 2 мес.,20 дн.",Женский,54
SU554,Административно-эксплуатационный департамент,Отдел по эксплуатации инженерных систем,,Техник,нет,"19 г., 9 мес.,8 дн.",Мужской,70
SU154117,Департамент инфраструктурных решений и сервисов,Облачные сервисы,группа веб разработки облака,Технический писатель,нет,"3 г., 11 мес.,9 дн.",Мужской,58
SU177598,Финансовый департамент,отдел бюджетирования и оптимизации финансового учета,,Экономист,нет,"2 г., 10 мес.,19 дн.",Женский,24
SU174866,Департамент телекоммуникаций,Цифровое производство,группа инженеров цифрового производства,Младший инженер-разработчик,нет,"1 г., 1 мес.,27 дн.",Мужской,22
SU196463,Департамент инфраструктурных решений и сервисов,группа администраторов сервисных проектов,,Старший администратор проектов,нет,"1 г., 6 мес.,22 дн.",Женский,27
SU196793,Отдел дизайна,,,Младший дизайнер,нет,"1 г., 4 мес.,18 дн.",Женский,21
SU197158,Департамент инженерных и мультимедийных систем,Группа систем безопасности,,Инженер,нет,"1 г., 2 мес.,7 дн.",Мужской,40
SU196765,Департамент телекоммуникаций,Цифровое производство,группа инженеров цифрового производства,Младший аналитик,нет,"1 г., 4 мес.,12 дн.",Мужской,22
SU78964,Департамент по работе с персоналом,отдел кадров,,Руководитель группы,РМ,"9 г., 6 мес.,18 дн.",Женский,31
SU160607,Департамент продаж и менеджмента проектов,,группа администраторов проектов по инженерным и мультимедийным системам,Старший администратор проектов,нет,"3 г., 6 мес.,24 дн.",Женский,26
SU1249,Департамент телекоммуникаций,,группа поддержки продаж решений,Финансовый аналитик,нет,"16 г., 1 мес.,24 дн.",Женский,37
