Код сотрудника,Департамент,Баланс,Кол-во дней работы,Контейнер
SU162810,ДБП.группа консультантов по финансам,3860.0,27,"Проектный опыт, Корпоративная жизнь КРОК, Другое, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Я и КРОК"
SU162829,ДВА.группа аналитиков,1855.0,24,"Проектный опыт, Квест 15-19 июля, Корпоративная жизнь КРОК, Я и КРОК, Поиск и развитие талантов, Другое"
SU162832,ДПМП.группа управления проектами по вычислительной инфраструктуре ЦОД,870.0,1,"Я и КРОК, Корпоративная жизнь КРОК, Поиск и развитие талантов, Проектный опыт"
SU162903,ДИРС.Информационная безопасность.группа инженеров технической поддержки по информационной безопасности,2455.0,6,"Проектный опыт, Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК, Я и КРОК, Поиск и развитие талантов, Другое"
SU162906,ДИРС.Информационная безопасность.Центр мониторинга безопасности,2635.0,11,"Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Проектный опыт, Я и КРОК, Поиск и развитие талантов, Другое"
SU162966,ДРП.HR-партнеры,2150.0,3,"Другое, Вклад в ИТ-образование, Croc Voices, Я и КРОК, Обмен опытом и повышение экспертизы"
SU162987,ФД.группа финансовых партнеров,560.0,2,"Корпоративная жизнь КРОК, Другое"
SU163106,ДРПО.ГИС.выборы. группа тестировщиков,5350.0,35,"Проектный опыт, Вклад в ИТ-образование, Корпоративная жизнь КРОК, Поиск и развитие талантов, Обмен опытом и повышение экспертизы, Я и КРОК, Другое, Croc Voices"
SU163109,ДРПО.Управление контентом и документооборот.группа разработчиков,400.0,5,"Я и КРОК, Проектный опыт"
SU163111,Отдел дизайна,520.0,1,"Другое, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы"
SU163247,ДБП.группа консультантов по финансам,3250.0,32,"Проектный опыт, Обмен опытом и повышение экспертизы, Другое, Поиск и развитие талантов, Я и КРОК"
SU163368,ДИРС.Информационная безопасность.группа развития бизнеса,200.0,1,Я и КРОК
SU1634,Служба логистики,680.0,2,"Корпоративная жизнь КРОК, Другое"
SU163439,ДРПО.ГИС.выборы. группа аналитиков,1550.0,7,"Проектный опыт, Я и КРОК, Обмен опытом и повышение экспертизы, Поиск и развитие талантов"
SU163471,ДРПО.ГИС.цифровые экосистемы.группа разработчиков,2280.0,14,"Поиск и развитие талантов, Проектный опыт, Я и КРОК, Другое"
SU163517,ДРП.отдел кадров,3485.0,3,"Корпоративная жизнь КРОК, Поиск и развитие талантов, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов, Другое, Я и КРОК, Квест 15-19 июля"
SU163518,ДБП.группа консультантов по технической архитектуре и разработке,2930.0,29,"Проектный опыт, Другое, Поиск и развитие талантов, Я и КРОК"
SU163534,ДИРС.Информационная безопасность.группа аналитиков по информационной безопасности,6760.0,18,"Корпоративная жизнь КРОК, Ускорение бизнес-процессов, Croc Voices, Проектный опыт, Обмен опытом и повышение экспертизы, Вклад в ИТ-образование, Поиск и развитие талантов, Другое, Я и КРОК"
SU163572,ДТК.группа сетевых решений,865.0,3,"Я и КРОК, Корпоративная жизнь КРОК, Проектный опыт, Поиск и развитие талантов"
SU163591,ДПМП.группа продаж,285.0,2,"Корпоративная жизнь КРОК, Я и КРОК, Другое"
SU163627,"ДРПО.Практика ""Роботехника""",200.0,1,Я и КРОК
SU163631,ДТК.группа технических менеджеров,2200.0,20,"Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК, Проектный опыт, Квест 15-19 июля, Я и КРОК, Ускорение бизнес-процессов, Другое"
SU163686,ДПМП.группа администраторов проектов по ИТ-системам и программным решениям,925.0,6,"Я и КРОК, Проектный опыт, Другое"
SU163706,ДИРС.Облачные сервисы.группа эксплуатации облачных сервисов,2935.0,4,"Корпоративная жизнь КРОК, Поиск и развитие талантов, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов, Другое, Я и КРОК"
SU163707,ДРПО.ГИС.выборы. группа внедренцев,1115.0,19,"Проектный опыт, Корпоративная жизнь КРОК, Я и КРОК"
SU163709,ДБП.группа поддержки продаж,1055.0,2,"Корпоративная жизнь КРОК, Я и КРОК, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов, Проектный опыт"
SU163711,ДТК.Цифровое производство.группа инженеров цифрового производства,1465.0,21,"Проектный опыт, Корпоративная жизнь КРОК, Ускорение бизнес-процессов, Я и КРОК"
SU163713,ДИРС.группа инженеров по вычислительной инфраструктуре,4460.0,15,"Обмен опытом и повышение экспертизы, Проектный опыт, Корпоративная жизнь КРОК, Другое, Вклад в ИТ-образование, Я и КРОК, Поиск и развитие талантов"
SU163777,ДВА.группа аналитиков,1165.0,19,"Корпоративная жизнь КРОК, Проектный опыт, Я и КРОК, Другое"
SU163788,ДРПО.ГИС.суды. группа разработчиков,250.0,5,"Проектный опыт, Корпоративная жизнь КРОК"
SU163886,ДИРС.Информационная безопасность.группа технических менеджеров по информационной безопасности,2665.0,4,"Корпоративная жизнь КРОК, Проектный опыт, Другое, Поиск и развитие талантов, Вклад в ИТ-образование, Я и КРОК"
SU163914,ДРП.HR-партнеры,1800.0,5,"Ускорение бизнес-процессов, Обмен опытом и повышение экспертизы, Другое, Я и КРОК, Корпоративная жизнь КРОК, Вклад в ИТ-образование"
SU163925,ДИМС.технические менеджеры по инженерным системам,1155.0,7,"Проектный опыт, Обмен опытом и повышение экспертизы, Я и КРОК, Корпоративная жизнь КРОК"
SU163926,ДТК.группа сетевых решений,865.0,3,"Поиск и развитие талантов, Проектный опыт, Я и КРОК, Корпоративная жизнь КРОК"
SU163928,ДИРС.группа инженеров поддержки баз данных,2405.0,5,"Я и КРОК, Проектный опыт, Поиск и развитие талантов, Ускорение бизнес-процессов, Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК, Другое"
SU163954,ДРП.отдел рекрутинга,2775.0,3,"Корпоративная жизнь КРОК, Другое, Поиск и развитие талантов, Вклад в ИТ-образование, Я и КРОК, Обмен опытом и повышение экспертизы"
SU163965,ДИМС.группа СКС и Автоматизации инженерных систем,2065.0,12,"Проектный опыт, Я и КРОК, Корпоративная жизнь КРОК, Другое, Поиск и развитие талантов"
SU163991,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,5055.0,21,"Проектный опыт, Другое, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов, Развитие компании, Я и КРОК"
SU163993,Служба охраны,200.0,1,Я и КРОК
SU163994,ДМ.группа контента,1330.0,10,"Поиск и развитие талантов, Проектный опыт, Корпоративная жизнь КРОК, Я и КРОК"
SU164035,ДРПО.Управление контентом и документооборот.группа тестировщиков,1440.0,14,"Проектный опыт, Квест 15-19 июля, Я и КРОК, Поиск и развитие талантов, Обмен опытом и повышение экспертизы"
SU164186,ДВА.группа аналитиков,1320.0,13,"Проектный опыт, Я и КРОК, Обмен опытом и повышение экспертизы, Другое"
SU164306,ДТК.Сервис.группа техподдержки сетей передачи данных,3975.0,36,"Проектный опыт, Другое, Обмен опытом и повышение экспертизы, Вклад в ИТ-образование, Я и КРОК, Поиск и развитие талантов"
SU164307,ДРПО.ГИС.суды. группа разработчиков,1450.0,15,"Проектный опыт, Поиск и развитие талантов, Я и КРОК"
SU164361,ДПМП.группа управления проектами развития бизнес-процессов,1250.0,7,"Корпоративная жизнь КРОК, Другое, Проектный опыт, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов"
SU1644,ДИРС.группа инженеров по вычислительной инфраструктуре,1420.0,3,"Поиск и развитие талантов, Корпоративная жизнь КРОК, Проектный опыт, Ускорение бизнес-процессов"
SU164588,"ДРПО.Практика ""Роботехника""",300.0,1,"Ускорение бизнес-процессов, Я и КРОК"
SU164606,ДРПО.ГИС.цифровые экосистемы.группа аналитиков и внедренцев,1150.0,9,"Проектный опыт, Поиск и развитие талантов, Я и КРОК"
SU164707,ДПМП.группа управления проектами по вычислительной инфраструктуре ЦОД,655.0,5,"Корпоративная жизнь КРОК, Проектный опыт, Я и КРОК, Другое"
SU164709,ДИРС.Облачные сервисы.группа поддержки и эксплуатации систем в ЦОД,2530.0,2,"Корпоративная жизнь КРОК, Другое, Поиск и развитие талантов, Я и КРОК, Вклад в ИТ-образование, Обмен опытом и повышение экспертизы"
SU164846,ДМ.группа цифрового маркетинга,1320.0,2,"Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Корпоративная жизнь КРОК, Другое, Я и КРОК"
SU164988,ДРПО.ГИС.росстат. группа аналитиков,475.0,5,"Проектный опыт, Я и КРОК"
SU165076,АЭД.отдел по эксплуатации инженерных систем,300.0,1,"Я и КРОК, Обмен опытом и повышение экспертизы"
SU165147,ДПМП.группа администраторов проектов по вычислительным системам и телекоммуникациям,1625.0,7,"Проектный опыт, Поиск и развитие талантов, Я и КРОК"
SU1652,Служба логистики,5.0,1,Корпоративная жизнь КРОК
SU165246,АЭД.отдел по эксплуатации инженерных систем,250.0,2,"Другое, Я и КРОК"
SU165447,ДВА.группа аналитиков 1С,50.0,1,Проектный опыт
SU165448,ДПМП.группа управления проектами по телекоммуникациям,3390.0,18,"Корпоративная жизнь КРОК, Проектный опыт, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Другое, Ускорение бизнес-процессов, Я и КРОК"
SU165467,ДИМС.группа СКС и Автоматизации инженерных систем,1360.0,1,"Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов, Я и КРОК, Поиск и развитие талантов"
SU165537,ДПМП.группа продаж,200.0,1,Я и КРОК
SU165546,ДРПО.ГИС.цифровые экосистемы.группа аналитиков и внедренцев,975.0,2,"Поиск и развитие талантов, Проектный опыт, Я и КРОК, Другое"
SU165564,ДТК.группа сетевых решений,2570.0,18,"Поиск и развитие талантов, Проектный опыт, Обмен опытом и повышение экспертизы, Я и КРОК, Другое"
SU165565,ДИРС.группа разработки частных облаков,2000.0,36,"Проектный опыт, Я и КРОК"
SU165569,ДИРС.группа развития бизнеса,1260.0,1,"Я и КРОК, Поиск и развитие талантов, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы"
SU165570,ДТК.Группа поддержки продаж сетевых решений,1460.0,3,"Корпоративная жизнь КРОК, Проектный опыт, Поиск и развитие талантов, Я и КРОК"
SU165608,АЭД.АО.секретариат,1335.0,1,"Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Корпоративная жизнь КРОК, Я и КРОК, Другое"
SU165736,ДИРС.группа инженеров по инфраструктурному ПО,70.0,2,"Другое, Обмен опытом и повышение экспертизы"
SU165750,ДИРС.группа инженеров по инфраструктурному ПО,4860.0,14,"Корпоративная жизнь КРОК, Проектный опыт, Вклад в ИТ-образование, Поиск и развитие талантов, Другое, Обмен опытом и повышение экспертизы, Croc Voices, Я и КРОК"
SU165752,"ДРПО.Практика ""Роботехника"".группа разработки робототехнических решений",200.0,1,Я и КРОК
SU165756,ДПМП.группа продаж,1135.0,2,"Другое, Корпоративная жизнь КРОК, Поиск и развитие талантов, Ускорение бизнес-процессов, Я и КРОК"
SU165786,ДПМП.группа администраторов проектов по ИТ-системам и программным решениям,940.0,1,"Проектный опыт, Обмен опытом и повышение экспертизы, Другое, Я и КРОК"
SU165807,ДИРС.группа поддержки продаж решений по вычислительной инфраструктуре,1830.0,32,"Проектный опыт, Корпоративная жизнь КРОК, Другое, Я и КРОК"
SU165814,ДИРС.Облачные сервисы.группа инженеров разработки облака,930.0,1,"Поиск и развитие талантов, Другое, Корпоративная жизнь КРОК, Я и КРОК"
SU165826,ДИРС.Облачные сервисы.группа поддержки продаж облачных сервисов,2620.0,17,"Корпоративная жизнь КРОК, Проектный опыт, Другое, Поиск и развитие талантов, Я и КРОК"
SU165854,ДИРС.группа клиентского сервиса,2130.0,3,"Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Другое, Ускорение бизнес-процессов, Корпоративная жизнь КРОК, Я и КРОК"
SU165855,ДРПО.ГИС.финтех,1690.0,4,"Проектный опыт, Поиск и развитие талантов, Корпоративная жизнь КРОК, Другое, Я и КРОК, Ускорение бизнес-процессов"
SU165856,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,3140.0,4,"Корпоративная жизнь КРОК, Я и КРОК, Обмен опытом и повышение экспертизы, Другое, Проектный опыт, Поиск и развитие талантов"
SU165948,Служба охраны.группа обеспечения контрольно-пропускного режима,300.0,1,"Ускорение бизнес-процессов, Я и КРОК"
SU166036,ДВА.группа разработки 1С,1765.0,26,"Проектный опыт, Обмен опытом и повышение экспертизы, Я и КРОК, Ускорение бизнес-процессов, Другое, Корпоративная жизнь КРОК"
SU166179,ДБП.группа консультантов по технической архитектуре и разработке,220.0,5,"Проектный опыт, Другое, Обмен опытом и повышение экспертизы"
SU166202,ДИРС.группа поддержки продаж решений по программной инфраструктуре,2015.0,1,"Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Я и КРОК"
SU166205,Отдел закупок,1905.0,2,"Корпоративная жизнь КРОК, Поиск и развитие талантов, Ускорение бизнес-процессов, Я и КРОК, Другое, Обмен опытом и повышение экспертизы"
SU166224,ДИРС.группа инженеров систем управления ИТ-процессами,2515.0,14,"Другое, Проектный опыт, Корпоративная жизнь КРОК, Я и КРОК, Поиск и развитие талантов, Обмен опытом и повышение экспертизы"
SU166242,ДТК.Сервис.группа техподдержки сетей передачи данных,430.0,2,"Я и КРОК, Проектный опыт, Корпоративная жизнь КРОК"
SU166245,ПД.группа Корпоративного сопровождения,2635.0,3,"Поиск и развитие талантов, Ускорение бизнес-процессов, Корпоративная жизнь КРОК, Я и КРОК, Другое"
SU166257,ДТК.Цифровое производство.группа инженеров цифрового производства,3590.0,13,"Проектный опыт, Вклад в ИТ-образование, Корпоративная жизнь КРОК, Другое, Я и КРОК, Ускорение бизнес-процессов, Croc Voices"
SU166308,ДРПО.ГИС.выборы. группа разработчиков,200.0,2,"Корпоративная жизнь КРОК, Ускорение бизнес-процессов, Проектный опыт"
SU166390,ДРПО.Управление контентом и документооборот.группа разработчиков,2750.0,33,"Проектный опыт, Другое, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Я и КРОК"
SU166406,ДРПО.Управление контентом и документооборот.группа разработчиков,1770.0,18,"Проектный опыт, Поиск и развитие талантов, Корпоративная жизнь КРОК, Я и КРОК, Ускорение бизнес-процессов, Другое"
SU166446,"ДРПО.Практика ""Роботехника"".группа разработки робототехнических решений",200.0,1,Я и КРОК
SU166559,ДВА.группа разработки инфраструктурных приложений,1865.0,11,"Квест 15-19 июля, Я и КРОК, Корпоративная жизнь КРОК, Проектный опыт, Другое, Поиск и развитие талантов, Обмен опытом и повышение экспертизы"
SU166563,ДИМС.группа сервиса,1400.0,7,"Проектный опыт, Я и КРОК, Корпоративная жизнь КРОК, Другое, Поиск и развитие талантов"
SU1666,ДПМП.группа продаж,300.0,1,"Ускорение бизнес-процессов, Я и КРОК"
SU166681,ДВА.группа разработки 1С,2245.0,20,"Корпоративная жизнь КРОК, Проектный опыт, Я и КРОК, Ускорение бизнес-процессов, Квест 15-19 июля, Поиск и развитие талантов"
SU1667,ДИРС.группа инженеров систем управления ИТ-процессами,200.0,1,Я и КРОК
SU166795,ДВА.группа аналитиков 1С,2010.0,30,"Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов, Проектный опыт, Корпоративная жизнь КРОК, Другое, Я и КРОК"
SU166810,Служба качества,7190.0,38,"Проектный опыт, Корпоративная жизнь КРОК, Поиск и развитие талантов, Квест 15-19 июля, Другое, Обмен опытом и повышение экспертизы, Ускорение бизнес-процессов, Я и КРОК"
SU166822,ДРП.отдел рекрутинга,1805.0,3,"Корпоративная жизнь КРОК, Вклад в ИТ-образование, Ускорение бизнес-процессов, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Другое, Я и КРОК"
SU166848,ДРПО.ГИС.цифровые экосистемы.группа технических менеджеров,1225.0,10,"Проектный опыт, Поиск и развитие талантов, Я и КРОК"
SU166880,ДТК.Группа поддержки продаж сетевых решений,200.0,1,Я и КРОК
SU167011,ПД.группа комплексного сопровождения проектов,1175.0,1,"Ускорение бизнес-процессов, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Я и КРОК, Поиск и развитие талантов"
SU1671,ДТК.группа унифицированных коммуникаций,690.0,9,"Корпоративная жизнь КРОК, Проектный опыт, Я и КРОК"
SU167182,ДИРС.Облачные сервисы.группа управления облачными проектами,1085.0,3,"Корпоративная жизнь КРОК, Другое, Поиск и развитие талантов, Обмен опытом и повышение экспертизы, Я и КРОК"
SU167263,ФД.группа финансовых партнеров,1020.0,1,"Поиск и развитие талантов, Обмен опытом и повышение экспертизы, Другое, Корпоративная жизнь КРОК, Я и КРОК"
SU167282,ДРП.отдел обучения,3040.0,2,"Корпоративная жизнь КРОК, Продвижение бренда КРОК, Я и КРОК, Croc Voices, Другое"
SU167284,"ДРПО.Практика ""Time and Material"".группа аналитиков",1450.0,10,"Проектный опыт, Я и КРОК, Поиск и развитие талантов"
SU167321,ДБП.группа консультантов по финансам,1400.0,12,"Проектный опыт, Я и КРОК, Поиск и развитие талантов, Обмен опытом и повышение экспертизы"
SU167324,ДИРС.Информационная безопасность.Центр мониторинга безопасности,6140.0,33,"Проектный опыт, Croc Voices, Ускорение бизнес-процессов, Корпоративная жизнь КРОК, Вклад в ИТ-образование, Поиск и развитие талантов, Продвижение бренда КРОК, Квест 15-19 июля, Я и КРОК, Другое, Обмен опытом и повышение экспертизы"
SU167391,ДРП.отдел обучения,2105.0,2,"Корпоративная жизнь КРОК, Продвижение бренда КРОК, Я и КРОК, Обмен опытом и повышение экспертизы, Другое, Croc Voices"
SU167463,ДПМП.группа управления проектами развития бизнес-процессов,675.0,5,"Проектный опыт, Я и КРОК, Обмен опытом и повышение экспертизы"
SU167483,ДПМП.группа управления проектами по телекоммуникациям,2100.0,19,"Корпоративная жизнь КРОК, Проектный опыт, Я и КРОК"
SU167484,ДТК.Сервис.Первая линия,5215.0,36,"Другое, Корпоративная жизнь КРОК, Проектный опыт, Обмен опытом и повышение экспертизы, Вклад в ИТ-образование, Квест 15-19 июля, Croc Voices, Ускорение бизнес-процессов, Я и КРОК"
SU167485,ДИРС.группа разработки частных облаков,2850.0,38,"Проектный опыт, Я и КРОК, Другое, Поиск и развитие талантов, Квест 15-19 июля"
SU167486,ДИРС.группа разработки частных облаков,2665.0,13,"Проектный опыт, Корпоративная жизнь КРОК, Поиск и развитие талантов, Я и КРОК"
SU1675,ПД.группа комплексного сопровождения проектов,1650.0,3,"Поиск и развитие талантов, Обмен опытом и повышение экспертизы, Другое, Проектный опыт, Ускорение бизнес-процессов"
SU167742,ДТК.Сервис.группа технической поддержки телефонии и Call-центров,4385.0,16,"Проектный опыт, Корпоративная жизнь КРОК, Вклад в ИТ-образование, Квест 15-19 июля, Я и КРОК, Другое, Поиск и развитие талантов, Croc Voices"
SU167843,ДИРС.Информационная безопасность.группа технических менеджеров по информационной безопасности,1455.0,3,"Другое, Проектный опыт, Корпоративная жизнь КРОК, Я и КРОК"
SU167882,ДРПО.ГИС.суды. группа аналитиков и внедренцев,2565.0,3,"Другое, Я и КРОК, Корпоративная жизнь КРОК, Проектный опыт, Поиск и развитие талантов"
SU167962,ДРПО.Управление контентом и документооборот.группа аналитиков,2210.0,23,"Проектный опыт, Поиск и развитие талантов, Ускорение бизнес-процессов, Я и КРОК, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы"
SU168,Отдел закупок,550.0,1,Поиск и развитие талантов
SU168082,Transformation office,1740.0,2,"Обмен опытом и повышение экспертизы, Корпоративная жизнь КРОК, Другое, Вклад в ИТ-образование, Ускорение бизнес-процессов, Поиск и развитие талантов, Я и КРОК"
SU168322,ДРПО.ГИС.суды. группа тестировщиков,1075.0,12,"Проектный опыт, Корпоративная жизнь КРОК, Для новых сотрудников, Квест 15-19 июля, Я и КРОК, Другое"
SU168342,ДПМП.группа управления проектами по вычислительной инфраструктуре ЦОД,2870.0,6,"Проектный опыт, Другое, Поиск и развитие талантов, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Я и КРОК"
SU168482,ДТК.Сервис.группа технической поддержки телефонии и Call-центров,4050.0,20,"Проектный опыт, Вклад в ИТ-образование, Я и КРОК, Другое, Поиск и развитие талантов, Croc Voices"
SU168523,ДРПО.ГИС.цифровые экосистемы.группа тестировщиков,1560.0,22,"Проектный опыт, Корпоративная жизнь КРОК, Я и КРОК, Обмен опытом и повышение экспертизы"
SU168524,ДБП.группа технических менеджеров по 1С и автоматизации бизнес-процессов,3325.0,25,"Проектный опыт, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Другое, Ускорение бизнес-процессов, Я и КРОК"
SU168526,ДРПО.группа системных инженеров,1900.0,22,"Проектный опыт, Поиск и развитие талантов, Я и КРОК, Другое"
SU168542,ДПМП.группа управления проектами по разработке программных решений,2860.0,7,"Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Проектный опыт, Я и КРОК, Ускорение бизнес-процессов, Поиск и развитие талантов, Другое"
SU168579,ДИРС.Разработка инфраструктурных продуктов.группа разработки,1450.0,23,"Проектный опыт, Ускорение бизнес-процессов, Я и КРОК"
SU168659,ДИРС.Информационная безопасность.группа инженеров технической поддержки по информационной безопасности,8215.0,42,"Корпоративная жизнь КРОК, Проектный опыт, Квест 15-19 июля, Вклад в ИТ-образование, Я и КРОК, Croc Voices, Другое, Поиск и развитие талантов, Обмен опытом и повышение экспертизы"
SU168862,ДМ.группа маркетологов,590.0,1,"Корпоративная жизнь КРОК, Поиск и развитие талантов"
SU168863,ДМ.группа цифрового маркетинга,3065.0,7,"Корпоративная жизнь КРОК, Проектный опыт, Другое, Я и КРОК, Поиск и развитие талантов, Ускорение бизнес-процессов"
SU168882,ДРПО.Управление контентом и документооборот.группа разработчиков,1450.0,23,"Проектный опыт, Я и КРОК, Ускорение бизнес-процессов"
SU1689,ДИРС.группа поддержки продаж решений по вычислительной инфраструктуре,3300.0,24,"Проектный опыт, Поиск и развитие талантов, Другое, Я и КРОК"
SU168925,ДПМП.группа сметчиков,5795.0,36,"Корпоративная жизнь КРОК, Проектный опыт, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Другое, Ускорение бизнес-процессов, Я и КРОК"
SU168942,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,2495.0,8,"Проектный опыт, Я и КРОК, Другое, Обмен опытом и повышение экспертизы, Квест 15-19 июля, Ускорение бизнес-процессов, Корпоративная жизнь КРОК, Поиск и развитие талантов, Вклад в ИТ-образование"
SU168970,ДРПО.ГИС.росстат. группа разработчиков,400.0,5,"Проектный опыт, Я и КРОК"
SU169154,ДРПО.ГИС.выборы. группа разработчиков,360.0,8,"Корпоративная жизнь КРОК, Проектный опыт"
SU169155,ДПМП.группа администраторов проектов по ИТ-системам и программным решениям,3200.0,3,"Корпоративная жизнь КРОК, Проектный опыт, Поиск и развитие талантов, Обмен опытом и повышение экспертизы, Другое, Я и КРОК, Ускорение бизнес-процессов"
SU169156,ДБП.группа поддержки продаж,3460.0,3,"Другое, Корпоративная жизнь КРОК, Поиск и развитие талантов, Я и КРОК, Обмен опытом и повышение экспертизы"
SU169225,ДПМП.группа менеджеров по работе с корпоративными клиентами,1500.0,2,"Корпоративная жизнь КРОК, Поиск и развитие талантов, Другое, Я и КРОК"
SU169302,ДПМП.группа менеджеров по работе с корпоративными клиентами,2565.0,2,"Ускорение бизнес-процессов, Другое, Я и КРОК, Обмен опытом и повышение экспертизы, Поиск и развитие талантов"
SU169403,ДРПО.ГИС.цифровые экосистемы.группа разработчиков,650.0,10,"Проектный опыт, Я и КРОК"
SU169422,ДИРС.группа поддержки продаж решений по программной инфраструктуре,580.0,3,"Корпоративная жизнь КРОК, Проектный опыт, Ускорение бизнес-процессов, Обмен опытом и повышение экспертизы"
SU1696,ДИРС.группа инженеров поддержки баз данных,1425.0,16,"Обмен опытом и повышение экспертизы, Проектный опыт, Я и КРОК, Ускорение бизнес-процессов"
SU169662,ДРПО.Управление контентом и документооборот.группа внедренцев,2255.0,20,"Проектный опыт, Поиск и развитие талантов, Обмен опытом и повышение экспертизы, Другое, Корпоративная жизнь КРОК, Я и КРОК"
SU169687,ДРПО.ГИС.выборы. группа аналитиков,1515.0,7,"Проектный опыт, Поиск и развитие талантов, Другое, Обмен опытом и повышение экспертизы"
SU169722,ДИМС.группа сервиса,900.0,6,"Проектный опыт, Я и КРОК"
SU169782,АЭД.отдел по эксплуатации инженерных систем,300.0,1,"Я и КРОК, Обмен опытом и повышение экспертизы"
SU169962,ДПМП.группа управления проектами по вычислительной инфраструктуре ЦОД,1875.0,3,"Проектный опыт, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Я и КРОК, Поиск и развитие талантов, Другое"
SU169982,ДИРС.Облачные сервисы.группа сопровождения ИТ-инфраструктур,1315.0,2,"Проектный опыт, Я и КРОК, Корпоративная жизнь КРОК, Поиск и развитие талантов, Квест 15-19 июля, Другое, Ускорение бизнес-процессов"
SU170142,ДИРС.Информационная безопасность.группа инженеров по защите инфраструктуры,2245.0,3,"Поиск и развитие талантов, Проектный опыт, Я и КРОК, Обмен опытом и повышение экспертизы, Квест 15-19 июля"
SU1704,ДБП.группа технических менеджеров по BigData,1550.0,12,"Проектный опыт, Поиск и развитие талантов, Я и КРОК, Обмен опытом и повышение экспертизы"
SU170682,ДПМП.группа управления проектами по построению корпоративных систем,4385.0,7,"Ускорение бизнес-процессов, Проектный опыт, Обмен опытом и повышение экспертизы, Поиск и развитие талантов, Я и КРОК, Другое, Корпоративная жизнь КРОК"
SU1707,Администрация,720.0,1,"Обмен опытом и повышение экспертизы, Я и КРОК, Ускорение бизнес-процессов, Корпоративная жизнь КРОК"
SU1708,ДИРС.группа обеспечения сервисных контрактов,1965.0,26,"Проектный опыт, Ускорение бизнес-процессов, Другое, Я и КРОК"
SU171202,ДИРС.группа администраторов сервисных проектов,2300.0,11,"Проектный опыт, Поиск и развитие талантов, Я и КРОК"
SU171222,ДПМП.группа управления проектами и поддержки продаж,2050.0,1,"Поиск и развитие талантов, Другое, Обмен опытом и повышение экспертизы, Проектный опыт, Я и КРОК"
SU171242,ДРПО.ГИС.выборы. группа разработчиков,2520.0,19,"Проектный опыт, Квест 15-19 июля, Я и КРОК, Ускорение бизнес-процессов, Другое, Поиск и развитие талантов, Корпоративная жизнь КРОК"
SU171291,ДИРС.Разработка инфраструктурных продуктов.группа разработки,2705.0,27,"Проектный опыт, Поиск и развитие талантов, Обмен опытом и повышение экспертизы, Я и КРОК, Ускорение бизнес-процессов, Корпоративная жизнь КРОК"
SU171362,ДПМП.ОРК,1340.0,2,"Корпоративная жизнь КРОК, Другое, Я и КРОК, Обмен опытом и повышение экспертизы"
SU171363,АЭД.АО,1915.0,2,"Другое, Я и КРОК, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Поиск и развитие талантов"
SU171365,ДБП.группа разработки по Data и DWH,2755.0,20,"Обмен опытом и повышение экспертизы, Проектный опыт, Другое, Ускорение бизнес-процессов, Корпоративная жизнь КРОК, Поиск и развитие талантов"
SU171462,ДИРС.группа UNIX и Open Source,3060.0,19,"Корпоративная жизнь КРОК, Проектный опыт, Поиск и развитие талантов, Другое, Ускорение бизнес-процессов, Я и КРОК, Обмен опытом и повышение экспертизы"
SU171482,ДИРС.Облачные сервисы.группа поддержки продаж облачных сервисов,1115.0,8,"Проектный опыт, Я и КРОК, Поиск и развитие талантов, Другое"
SU171483,ДБП.группа консультантов по финансам,4710.0,12,"Квест 15-19 июля, Проектный опыт, Вклад в ИТ-образование, Поиск и развитие талантов, Другое, Корпоративная жизнь КРОК, Обмен опытом и повышение экспертизы, Я и КРОК"
